id,text
P001,"Tu trabajo va a llenar gran parte de tu vida, y la única manera de estar realmente satisfecho es hacer lo que crees que es un gran trabajo."
P002,"Siempre parece imposible hasta que se hace."
P003,"Apunta a la luna, que incluso si le erras, aterrizarás entre las estrellas."
P004,"No esperes el momento perfecto, toma el momento y hazlo perfecto."
P005,"Cuando algo es lo suficientemente importante, lo haces incluso si las probabilidades no están a tu favor."
P006,"El futuro pertenece a quienes creen en la belleza de sus sueños."
P007,"La mejor manera de predecir el futuro es crearlo."
P008,"No se fracasa hasta que se deja de intentar."
P009,"La disciplina es el puente entre metas y logros."
P010,"Convierte tus heridas en sabiduría."
P011,"El éxito es la suma de pequeños esfuerzos repetidos día tras día."
P012,"Haz de tu vida un sueño y de tu sueño una realidad."
P013,"El conocimiento habla, la sabiduría escucha."
P014,"Quien mueve montañas comienza apartando pequeñas piedras."
P015,"Lo único imposible es aquello que no intentas."
P016,"La inspiración existe, pero tiene que encontrarte trabajando."
P017,"No cuentes los días; haz que los días cuenten."
P018,"No puedes cruzar el mar simplemente mirando el agua."
P019,"La felicidad no es algo hecho; proviene de tus propias acciones."
P020,"El coraje no siempre ruge; a veces es una voz tranquila que dice: “Lo intentaré de nuevo mañana”."
P021,"Un viaje de mil millas comienza con un solo paso."
P022,"La fortuna favorece a los audaces."
P023,"Somos lo que hacemos repetidamente; la excelencia es un hábito."
P024,"La mente es todo: en lo que pienses te conviertes."
P025,"El momento que estás dispuesto a renunciar es precisamente el momento antes de que ocurra el milagro."
P026,"Sueña en grande y atrévete a fallar."
P027,"Nunca limites tus desafíos; desafía tus límites."
P028,"La imaginación lo es todo; es un adelanto de las atracciones de la vida que vendrán."
P029,"No mires el reloj; haz lo que él hace: sigue adelante."
P030,"El secreto de salir adelante es empezar."
P031,"El éxito no es definitivo ni el fracaso es fatal; lo que cuenta es el valor para continuar."
P032,"Cuanto más trabajes, más suerte tendrás."
P033,"No se trata de tener tiempo, se trata de hacer tiempo."
P034,"La vida en sí misma es el cuento más maravilloso."
P035,"Haz hoy lo que otros no quieren y mañana vivirás como otros no pueden."
P036,"Tu actitud, no tu aptitud, determina tu altitud."
P037,"Mantén tu rostro hacia el sol y las sombras quedarán atrás."
P038,"La grandeza de un hombre está en su decisión de ser más fuerte que su condición."
P039,"Las oportunidades no pasan; las creas."
P040,"Quien tiene un porqué puede soportar casi cualquier cómo."
P041,"Persigue la visión, no el dinero; el dinero terminará siguiéndote."
