id,text,author
P001,"Tu trabajo va a llenar gran parte de tu vida, y la única manera de estar realmente satisfecho es hacer lo que crees que es un gran trabajo.",Steve Jobs
P002,Siempre parece imposible hasta que se hace.,Nelson Mandela
P003,"Apunta a la luna, que incluso si le erras, aterrizarás entre las estrellas.",Norman Vincent Peale
P004,"No esperes el momento perfecto, toma el momento y hazlo perfecto.",Zoey Sayward
P005,"Cuando algo es lo suficientemente importante, lo haces incluso si las probabilidades no están a tu favor.",Elon Musk
P006,El futuro pertenece a quienes creen en la belleza de sus sueños.,Eleanor Roosevelt
P007,La mejor manera de predecir el futuro es inventarlo.,Alan Kay
P008,No se fracasa hasta que se deja de intentar.,Anónimo
P009,La disciplina es el puente entre metas y logros.,Jim Rohn
P010,Convierte tus heridas en sabiduría.,Oprah Winfrey
P011,El éxito es la suma de pequeños esfuerzos repetidos día tras día.,Robert Collier
P012,Haz de tu vida un sueño y de tu sueño una realidad.,Antoine de Saint-Exupéry
P013,"El conocimiento habla, la sabiduría escucha.",Jimi Hendrix
P014,Quien mueve montañas comienza apartando pequeñas piedras.,Confucio
P015,Lo único imposible es aquello que no intentas.,Anónimo
P016,"La inspiración existe, pero tiene que encontrarte trabajando.",Pablo Picasso
P017,No cuentes los días; haz que los días cuenten.,Anónimo
P018,No puedes cruzar el mar simplemente mirando el agua.,Anónimo
P019,La felicidad no es algo hecho; proviene de tus propias acciones.,Anónimo
P020,El coraje no siempre ruge; a veces es una voz tranquila que dice: “Lo intentaré de nuevo mañana”.,Anónimo
P021,Un viaje de mil millas comienza con un solo paso.,Anónimo
P022,La fortuna favorece a los audaces.,Anónimo
P023,Somos lo que hacemos repetidamente; la excelencia es un hábito.,Anónimo
P024,La mente es todo: en lo que pienses te conviertes.,Anónimo
P025,El momento que estás dispuesto a renunciar es precisamente el momento antes de que ocurra el milagro.,Anónimo
P026,Sueña en grande y atrévete a fallar.,Anónimo
P027,Nunca limites tus desafíos; desafía tus límites.,Anónimo
P028,La imaginación lo es todo; es un adelanto de las atracciones de la vida que vendrán.,Anónimo
P029,No mires el reloj; haz lo que él hace: sigue adelante.,Anónimo
P030,El secreto de salir adelante es empezar.,Anónimo
P031,El éxito no es definitivo ni el fracaso es fatal; lo que cuenta es el valor para continuar.,Winston Churchill
P032,"Cuanto más trabajes, más suerte tendrás.",Gary Player
P033,"No se trata de tener tiempo, se trata de hacer tiempo.",Anónimo
P034,La vida en sí misma es el cuento más maravilloso.,Hans Christian Andersen
P035,Haz hoy lo que otros no quieren y mañana vivirás como otros no pueden.,Jerry Rice
P036,"Tu actitud, no tu aptitud, determina tu altitud.",Zig Ziglar
P037,Mantén tu rostro hacia el sol y las sombras quedarán atrás.,Helen Keller
P038,La grandeza de un hombre está en su decisión de ser más fuerte que su condición.,Anónimo
P039,Las oportunidades no pasan; las creas.,Chris Grosser
P040,Quien tiene un porqué puede soportar casi cualquier cómo.,Anónimo
P041,"Persigue la visión, no el dinero; el dinero terminará siguiéndote.",Tony Hsieh
P042,El único límite a nuestros logros de mañana es dudar hoy.,Franklin D. Roosevelt
P043,La vida se encoje o se expande en proporción a tu valentía.,Anaïs Nin
P044,"Hazlo o no lo hagas, pero no lo intentes a medias.",Yoda
P045,El fracaso es la oportunidad de empezar de nuevo con más inteligencia.,Henry Ford
P046,Nada grande se ha logrado sin entusiasmo.,Ralph Waldo Emerson
P047,La única forma de hacer un gran trabajo es amar lo que haces.,Steve Jobs
P048,No sueñes tu vida; vive tu sueño.,Anónimo
P049,Lo que obtienes al alcanzar tus metas no es tan importante como en quién te conviertes al lograrlas.,Zig Ziglar
P050,Las tormentas hacen que los árboles echen raíces más profundas.,Dolly Parton
P051,Vive como si fueras a morir mañana; aprende como si fueras a vivir para siempre.,Mahatma Gandhi
P052,"Nos limitamos a reflejar el mundo. Todos los cambios empiezan en nuestro interior; a medida que una persona transforma su propia naturaleza, la actitud del mundo hacia ella también cambia.",Mahatma Gandhi
P053,El dolor es temporal; la gloria es eterna.,Anónimo
P054,Nunca es demasiado tarde para ser lo que podrías haber sido.,George Eliot
P055,La suerte favorece la mente preparada.,Louis Pasteur
P056,"Si puedes soñarlo, puedes lograrlo.",Walt Disney
P057,La única persona en la que estás destinado a convertirte es la persona que decidas ser.,Ralph Waldo Emerson
P058,"No encuentres la falta, encuentra el remedio.",Henry Ford
P059,"La clave del éxito es enfocarse en metas, no en obstáculos.",Anónimo
P060,Nada funciona a menos que tú lo hagas funcionar.,Maya Angelou
P061,Haz de cada día tu obra maestra.,Anónimo
P062,"La valentía es saber que algo es aterrador, pero hacerlo de todos modos.",Anónimo
P063,"Si no te gusta el camino por el que andas, empieza a construir uno nuevo.",Anónimo
P064,"El talento gana juegos, pero el trabajo en equipo gana campeonatos.",Anónimo
P065,"No importa lo lento que avances, siempre y cuando no te detengas.",Anónimo
P066,La mejor venganza es el éxito masivo.,Anónimo
P067,El riesgo más grande es no tomar ninguno.,Mark Zuckerberg
P068,La educación es el arma más poderosa para cambiar el mundo.,Nelson Mandela
P069,La creatividad es la inteligencia divirtiéndose.,Albert Einstein
P070,Cambia tus pensamientos y cambiarás tu mundo.,Norman Vincent Peale
P071,El carácter se construye cuando nadie está mirando.,John Wooden
P072,"El verdadero fracaso no es caer, sino negarse a levantarse.",Confucio
P073,Prefiero morir de pasión que de aburrimiento.,Vincent van Gogh
P074,"Cuando obedeces todas las reglas, te pierdes la diversión.",Katharine Hepburn
P075,El mañana pertenece a quienes se preparan hoy.,Malcolm X
P076,El primer paso es que tienes que decir que puedes.,Will Smith
P077,"Quien no arriesga, no gana.",Anónimo
P078,La vida es 10 % lo que me ocurre y 90 % cómo reacciono.,Charles R. Swindoll
P079,"Las grandes mentes discuten ideas; las mentes promedio, eventos; las pequeñas, personas.",Eleanor Roosevelt
P080,"Tu futuro es creado por lo que haces hoy, no mañana.",Anónimo
P081,El secreto de la felicidad es la libertad; el secreto de la libertad es el coraje.,Tucídides
P082,"La paciencia es amarga, pero su fruto es dulce.",Aristóteles
P083,El pesimista ve dificultad en cada oportunidad; el optimista ve oportunidad en cada dificultad.,Winston Churchill
P084,Trabaja duro en silencio y deja que tu éxito haga todo el ruido.,Frank Ocean
P085,"El momento en que dudas si puedes volar, dejas de poder hacerlo.",J. M. Barrie
P086,No soy producto de mis circunstancias; soy producto de mis decisiones.,Stephen R. Covey
P087,Todo lo que puedas imaginar es real.,Anónimo
P088,La mente que se abre a una nueva idea jamás volverá a su tamaño original.,Anónimo
P089,No temas renunciar a lo bueno para perseguir lo grandioso.,Anónimo
P090,Un problema es una oportunidad en ropa de trabajo.,Anónimo
P091,El éxito suele llegar a quienes están demasiado ocupados para buscarlo.,Anónimo
P092,"Haz lo que puedas, con lo que tengas, donde estés.",Anónimo
P093,"Deja de esperar el viernes, la persona ideal o la ocasión perfecta.",Anónimo
P094,"La perfección no es alcanzable, pero si la buscamos alcanzamos la excelencia.",Anónimo
P095,"No puedes detener las olas, pero puedes aprender a surfear.",Anónimo
P096,Sé valiente: la curiosidad es la chispa detrás de cada gran idea.,Anónimo
P097,"Aquel que tiene imaginación, con qué facilidad saca de la nada un mundo.",Anónimo
P098,"Si no sueñas, no lograrás nada.",Anónimo
P099,"La gente olvidará lo que dijiste y lo que hiciste, pero nunca cómo les hiciste sentir.",Anónimo
P100,La visión sin acción es un sueño; la acción sin visión es pesadilla.,Anónimo
P101,No dejes que el miedo decida tu futuro.,Anónimo
P102,No esperes. El tiempo nunca será justo.,Anónimo
P103,El éxito no es la clave de la felicidad; la felicidad es la clave del éxito.,Anónimo
P104,La voluntad encuentra el camino.,Anónimo
P105,El único modo de descubrir los límites de lo posible es ir más allá de ellos.,Anónimo
P106,El optimismo es la fe que conduce al logro.,Anónimo
P107,Solo aquellos que se atreven a tener grandes fracasos terminan logrando grandes éxitos.,Anónimo
P108,No existe gran talento sin gran voluntad.,Anónimo
P109,El triunfo verdadero nace del fuego de la lucha.,Anónimo
P110,El mundo pertenece a los que se atreven.,Anónimo
P111,"Para ser insustituible, uno debe ser siempre diferente.",Anónimo
P112,"Quien no vive para servir, no sirve para vivir.",Madre Teresa
P113,La confianza en uno mismo es el primer secreto del éxito.,Ralph Waldo Emerson
P114,El éxito es amar la vida y atreverse a vivirla.,Anónimo
P115,No puedes esperar construir un mundo mejor sin mejorar a las personas.,Marie Curie
P116,Las grandes obras no se realizan con fuerza sino con perseverancia.,Samuel Johnson
P117,La única diferencia entre el imposible y el posible radica en la voluntad.,Tommy Lasorda
P118,No hay ascensor al éxito; tienes que tomar las escaleras.,Zig Ziglar
P119,La pasión es la gasolina del éxito.,Anónimo
P120,"Si quieres volar, renuncia a las cosas que te pesan.",Toni Morrison
P121,Cada día trae nuevas opciones.,Oprah Winfrey
P122,El secreto de avanzar es comenzar.,Mark Twain
P123,El verdadero tesoro es la experiencia.,Anónimo
P124,"La gloria no consiste en no caer jamás, sino en levantarse todas las veces que sea necesario.",Confucio
